country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million
Canada,2020-01-26,1,1,,,,,0.026,0.026,,,,,,,,,,,,,,
Canada,2020-01-27,1,0,,,,,0.026,0,,,,,,,,,,,,,,
Canada,2020-01-28,2,1,,,,,0.053,0.026,,,,,,,,,,,,,,
Canada,2020-01-29,2,0,,,,,0.053,0,,,,,,,,,,,,,,
Canada,2020-01-30,2,0,,,,,0.053,0,,,,,,,,,,,,,,
Canada,2020-01-31,4,2,0.571,,,0,0.106,0.053,0.015,,,0,,,,,,,,,,
Canada,2020-02-01,4,0,0.571,,,0,0.106,0,0.015,,,0,,,,,,,,,,
Canada,2020-02-02,4,0,0.429,,,0,0.106,0,0.011,,,0,,,,,,,,,,
Canada,2020-02-03,4,0,0.429,,,0,0.106,0,0.011,,,0,,,,,,,,,,
Canada,2020-02-04,4,0,0.286,,,0,0.106,0,0.008,,,0,,,,,,,,,,
Canada,2020-02-05,5,1,0.429,,,0,0.132,0.026,0.011,,,0,,,,,,,,,,
Canada,2020-02-06,5,0,0.429,,,0,0.132,0,0.011,,,0,,,,,,,,,,
Canada,2020-02-07,7,2,0.429,,,0,0.185,0.053,0.011,,,0,,,,,,,,,,
Canada,2020-02-08,7,0,0.429,,,0,0.185,0,0.011,,,0,,,,,,,,,,
Canada,2020-02-09,7,0,0.429,,,0,0.185,0,0.011,,,0,,,,,,,,,,
Canada,2020-02-10,7,0,0.429,,,0,0.185,0,0.011,,,0,,,,,,,,,,
Canada,2020-02-11,7,0,0.429,,,0,0.185,0,0.011,,,0,,,,,,,,,,
Canada,2020-02-12,7,0,0.286,,,0,0.185,0,0.008,,,0,,,,,,,,,,
Canada,2020-02-13,7,0,0.286,,,0,0.185,0,0.008,,,0,,,,,,,,,,
Canada,2020-02-14,7,0,0,,,0,0.185,0,0,,,0,,,,,,,,,,
Canada,2020-02-15,7,0,0,,,0,0.185,0,0,,,0,,,,,,,,,,
Canada,2020-02-16,7,0,0,,,0,0.185,0,0,,,0,,,,,,,,,,
Canada,2020-02-17,8,1,0.143,,,0,0.212,0.026,0.004,,,0,,,,,,,,,,
Canada,2020-02-18,8,0,0.143,,,0,0.212,0,0.004,,,0,,,,,,,,,,
Canada,2020-02-19,8,0,0.143,,,0,0.212,0,0.004,,,0,,,,,,,,,,
Canada,2020-02-20,8,0,0.143,,,0,0.212,0,0.004,,,0,,,,,,,,,,
Canada,2020-02-21,9,1,0.286,,,0,0.238,0.026,0.008,,,0,,,,,,,,,,
Canada,2020-02-22,9,0,0.286,,,0,0.238,0,0.008,,,0,,,,,,,,,,
Canada,2020-02-23,9,0,0.286,,,0,0.238,0,0.008,,,0,,,,,,,,,,
Canada,2020-02-24,10,1,0.286,,,0,0.265,0.026,0.008,,,0,,,,,,,,,,
