country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million
UK,2020-01-31,2,2,,,,,0.029,0.029,,,,,,,,,,,,,,
UK,2020-02-01,2,0,,,,,0.029,0,,,,,,,,,,,,,,
UK,2020-02-02,2,0,,,,,0.029,0,,,,,,,,,,,,,,
UK,2020-02-03,8,6,,,,,0.118,0.088,,,,,,,,,,,,,,
UK,2020-02-04,8,0,,,,,0.118,0,,,,,,,,,,,,,,
UK,2020-02-05,9,1,1.286,,,0,0.133,0.015,0.019,,,0,,,,,,,,,,
UK,2020-02-06,9,0,1.286,,,0,0.133,0,0.019,,,0,,,,,,,,,,
UK,2020-02-07,9,0,1,,,0,0.133,0,0.015,,,0,,,,,,,,,,
UK,2020-02-08,13,4,1.571,,,0,0.191,0.059,0.023,,,0,,,,,,,,,,
UK,2020-02-09,14,1,1.714,,,0,0.206,0.015,0.025,,,0,,,,,,,,,,
UK,2020-02-10,14,0,0.857,,,0,0.206,0,0.013,,,0,,,,,,,,,,
UK,2020-02-11,15,1,1,,,0,0.221,0.015,0.015,,,0,,,,,,,,,,
UK,2020-02-12,16,1,1,,,0,0.236,0.015,0.015,,,0,,,,,,,,,,
UK,2020-02-13,17,1,1.143,,,0,0.25,0.015,0.017,,,0,,,,,,,,,,
UK,2020-02-14,18,1,1.286,,,0,0.265,0.015,0.019,,,0,,,,,,,,,,
UK,2020-02-15,18,0,0.714,,,0,0.265,0,0.011,,,0,,,,,,,,,,
UK,2020-02-16,18,0,0.571,,,0,0.265,0,0.008,,,0,,,,,,,,,,
UK,2020-02-17,19,1,0.714,,,0,0.28,0.015,0.011,,,0,,,,,,,,,,
UK,2020-02-18,19,0,0.571,,,0,0.28,0,0.008,,,0,,,,,,,,,,
UK,2020-02-19,20,1,0.571,,,0,0.295,0.015,0.008,,,0,,,,,,,,,,
UK,2020-02-20,22,2,0.714,,,0,0.324,0.029,0.011,,,0,,,,,,,,,,
UK,2020-02-21,23,1,0.714,,,0,0.339,0.015,0.011,,,0,,,,,,,,,,
UK,2020-02-22,23,0,0.714,,,0,0.339,0,0.011,,,0,,,,,,,,,,
UK,2020-02-23,28,5,1.429,,,0,0.412,0.074,0.021,,,0,,,,,,,,,,
UK,2020-02-24,30,2,1.571,,,0,0.442,0.029,0.023,,,0,,,,,,,,,,
UK,2020-02-25,34,4,2.143,,,0,0.501,0.059,0.032,,,0,,,,,,,,,,
UK,2020-02-26,37,3,2.429,,,0,0.545,0.044,0.036,,,0,,,,,,,,,,
UK,2020-02-27,44,7,3.143,,,0,0.648,0.103,0.046,,,0,,,,,,,,,,
UK,2020-02-28,56,12,4.714,,,0,0.825,0.177,0.069,,,0,,,,,,,,,,
UK,2020-02-29,61,5,5.429,,,0,0.899,0.074,0.08,,,0,,,,,,,,,,
UK,2020-03-01,94,33,9.429,,,0,1.385,0.486,0.139,,,0,,,,,,,,,,
UK,2020-03-02,134,40,14.857,,,0,1.974,0.589,0.219,,,0,,,,,,,,,,
UK,2020-03-03,189,55,22.143,,,0,2.784,0.81,0.326,,,0,2.11,,,,,,,,,
UK,2020-03-04,246,57,29.857,,,0,3.624,0.84,0.44,,,0,2.08,,,,,,,,,
UK,2020-03-05,295,49,35.857,,,0,4.346,0.722,0.528,,,0,2.12,,,,,,,,,
UK,2020-03-06,374,79,45.429,1,1,0.143,5.509,1.164,0.669,0.015,0.015,0.002,2.27,,,,,,,,,
UK,2020-03-07,429,55,52.571,2,1,0.286,6.319,0.81,0.774,0.029,0.015,0.004,2.39,,,,,,,,,
UK,2020-03-08,483,54,55.571,2,0,0.286,7.115,0.795,0.819,0.029,0,0.004,2.6,,,,,,,,,
UK,2020-03-09,630,147,70.857,3,1,0.429,9.28,2.165,1.044,0.044,0.015,0.006,2.96,,,,,,,,,
UK,2020-03-10,889,259,100,7,4,1,13.095,3.815,1.473,0.103,0.059,0.015,3.25,,,,,,,,,
UK,2020-03-11,1301,412,150.714,7,0,1,19.164,6.069,2.22,0.103,0,0.015,3.35,,,,,,,,,
UK,2020-03-12,1790,489,213.571,9,2,1.286,26.368,7.203,3.146,0.133,0.029,0.019,3.17,,,,,,,,,
UK,2020-03-13,2270,480,270.857,10,1,1.286,33.438,7.071,3.99,0.147,0.015,0.019,2.84,,,,,,,,,
UK,2020-03-14,2634,364,315,29,19,3.857,38.8,5.362,4.64,0.427,0.28,0.057,2.59,,,,,,,,,
UK,2020-03-15,3077,443,370.571,43,14,5.857,45.326,6.526,5.459,0.633,0.206,0.086,2.43,,,,,,,,,
UK,2020-03-16,3692,615,437.429,66,23,9,54.385,9.059,6.444,0.972,0.339,0.133,2.27,,,,,,,,,
UK,2020-03-17,4462,770,510.429,83,17,10.857,65.728,11.343,7.519,1.223,0.25,0.16,2.2,,,,,,,,,
UK,2020-03-18,5468,1006,595.286,118,35,15.857,80.547,14.819,8.769,1.738,0.516,0.234,2.2,,,,,,,,,
UK,2020-03-19,6534,1066,677.714,164,46,22.143,96.25,15.703,9.983,2.416,0.678,0.326,2.22,,,,,,,,,
UK,2020-03-20,7792,1258,788.857,196,32,26.571,114.781,18.531,11.62,2.887,0.471,0.391,2.26,,,,,,,,,
UK,2020-03-21,9007,1215,910.429,254,58,32.143,132.678,17.898,13.411,3.742,0.854,0.473,2.29,,,,,,,,,
UK,2020-03-22,10395,1388,1045.429,289,35,35.143,153.124,20.446,15.4,4.257,0.516,0.518,2.29,,,,,,,,,
UK,2020-03-23,12744,2349,1293.143,365,76,42.714,187.726,34.602,19.049,5.377,1.12,0.629,2.24,,,,,,,,,
UK,2020-03-24,15126,2382,1523.429,513,148,61.429,222.815,35.088,22.441,7.557,2.18,0.905,2.11,,,,,,,,,
UK,2020-03-25,17843,2717,1767.857,704,191,83.714,262.838,40.023,26.042,10.37,2.814,1.233,2.02,,,,,,,,,
UK,2020-03-26,20970,3127,2062.286,886,182,103.143,308.9,46.063,30.379,13.051,2.681,1.519,1.99,,,,,,,,,
